Edge Start,Edge End,Dirtiness Decrease,Final Dirtiness
4,5,17.28,0.71
4,40,15.13,0.00
5,6,13.86,3.33
78,83,12.76,0.00
34,35,11.80,5.51
72,88,19.64,0.00
12,13,13.99,0.00
4,40,19.83,0.00
40,41,18.86,0.00
6,7,17.26,2.79
83,86,13.45,0.00
35,49,18.74,0.00
87,88,19.85,0.00
12,17,16.81,3.89
40,43,12.64,1.34
28,41,13.45,1.88
7,9,16.26,0.00
85,86,15.13,3.39
49,50,18.29,3.80
14,87,13.89,1.29
17,18,14.65,6.99
42,43,17.79,2.17
28,29,17.63,3.14
7,9,14.39,0.00
36,85,19.88,0.00
50,51,15.21,2.92
13,14,11.19,8.01
11,18,19.84,0.00
30,42,12.72,2.83
29,30,14.78,1.57
6,7,10.89,0.00
36,37,19.85,0.75
36,51,12.63,4.29
13,16,13.13,9.51
11,12,16.04,5.06
30,31,14.44,9.87
30,45,17.84,2.23
6,54,11.13,10.50
36,37,12.74,0.00
36,37,19.34,0.00
15,16,16.11,0.00
12,13,16.46,0.00
31,46,17.95,4.16
45,55,18.78,2.85
54,59,14.91,9.91
36,85,10.61,0.00
37,84,18.80,6.71
15,98,12.77,3.18
13,14,11.16,0.00
46,57,15.25,2.08
55,59,11.88,14.07
56,59,12.60,13.71
81,85,12.97,9.88
79,84,11.58,14.06
96,98,12.61,4.02
14,87,17.11,0.00
56,57,12.91,12.93
55,59,17.76,0.00
56,59,13.83,0.79
81,85,13.52,0.00
79,84,10.53,4.37
95,96,13.74,11.30
87,97,16.03,8.72
56,59,18.15,0.00
45,55,19.11,0.00
54,59,16.86,0.00
85,86,12.52,0.00
84,86,15.11,6.13
95,96,10.35,1.90
94,97,12.78,13.21
54,59,14.99,0.00
44,45,13.99,11.17
6,54,10.97,3.29
83,86,13.94,0.00
85,86,15.04,0.00
96,98,11.36,0.00
94,96,16.79,11.68
6,54,19.45,0.00
43,44,18.31,1.10
5,6,14.22,0.00
78,83,10.30,0.14
81,85,12.85,0.00
96,98,10.07,0.00
95,96,10.10,0.00
5,6,17.62,0.00
40,43,16.23,0.00
5,27,15.28,10.76
77,78,10.15,8.55
74,81,11.70,18.99
95,96,11.97,0.00
95,96,10.06,0.00
5,27,15.43,0.00
4,40,14.49,0.00
26,27,13.90,8.66
65,77,10.33,11.25
35,74,19.92,2.44
95,96,16.71,0.00
96,98,19.97,0.00
26,27,11.66,0.00
4,5,12.02,0.35
21,26,14.85,13.37
65,77,18.42,0.00
34,35,18.54,0.00
96,98,13.14,0.00
96,98,19.99,0.00
21,26,17.20,0.00
5,27,10.40,0.00
21,22,16.32,16.07
63,77,13.80,12.94
34,48,14.51,15.83
96,98,13.08,0.00
95,96,19.40,0.00
20,21,10.46,23.27
26,27,12.29,0.00
21,22,14.24,2.69
62,63,19.12,3.90
47,48,19.53,10.86
95,96,11.89,0.00
95,96,14.50,0.00
20,27,19.84,13.17
21,26,15.22,0.00
20,21,16.58,7.64
62,76,16.76,18.15
47,49,11.01,16.97
95,96,10.20,0.00
96,97,16.97,8.34
5,27,12.04,0.00
21,26,11.49,0.00
20,27,12.24,1.81
76,82,11.24,21.86
49,50,18.64,0.00
96,98,10.27,0.00
87,97,16.62,1.90
5,6,19.05,0.00
26,27,13.01,0.00
5,27,14.51,0.00
81,82,12.84,10.85
50,51,10.76,2.88
96,98,18.26,0.00
14,87,16.32,0.00
6,54,11.99,0.00
5,27,16.20,0.00
5,6,10.77,0.00
81,85,19.72,0.00
36,51,11.72,1.45
94,96,13.41,7.32
13,14,14.67,0.00
44,54,15.04,21.18
4,5,12.28,0.00
6,54,12.94,0.00
36,85,17.80,0.00
36,85,17.29,0.00
92,94,12.76,19.28
12,13,14.13,0.00
43,44,10.25,0.00
4,40,14.80,0.00
44,54,17.33,4.84
36,37,18.30,0.00
85,86,14.49,0.00
89,92,11.41,20.36
11,12,18.17,2.50
40,43,10.13,0.00
40,43,13.57,0.00
43,44,17.75,0.00
37,73,16.17,25.93
83,86,16.45,0.00
89,92,19.44,1.62
11,12,16.58,0.00
4,40,14.16,0.00
43,44,16.31,0.00
42,43,15.74,0.00
71,73,17.08,24.13
78,83,19.88,0.00
92,94,12.00,10.26
12,13,13.40,0.00
4,5,13.55,0.00
44,54,12.66,0.00
42,43,10.47,0.00
71,72,19.82,14.30
66,78,18.24,14.10
94,96,19.04,0.00
13,16,17.16,4.80
5,6,17.80,0.00
6,54,12.04,0.00
43,44,19.59,0.00
72,73,10.62,24.97
66,67,16.42,26.96
95,96,19.86,0.00
15,16,19.33,0.00
6,7,17.71,0.00
6,7,19.68,0.00
44,54,13.01,0.00
37,73,19.12,10.57
67,69,18.70,21.74
95,96,12.72,0.00
15,98,14.08,2.06
7,39,13.56,24.14
7,39,17.84,6.30
6,54,16.33,0.00
36,37,11.07,0.00
69,70,19.59,10.15
96,98,10.26,0.00
96,98,16.36,0.00
38,39,13.31,25.86
38,39,10.82,15.05
6,7,18.12,0.00
35,36,16.33,21.11
70,80,19.57,23.31
15,98,17.40,0.00
95,96,14.48,0.00
38,39,14.32,1.38
38,39,10.99,0.00
7,39,17.82,0.00
34,35,14.63,0.00
79,80,19.26,22.16
15,16,17.74,0.00
95,96,15.00,0.00
7,39,11.11,0.00
7,39,14.83,0.00
7,39,18.91,0.00
33,34,13.16,35.84
79,84,16.44,7.25
16,17,11.96,31.96
96,97,14.81,3.45
7,9,16.02,0.87
6,7,18.21,0.00
6,7,16.22,0.00
33,60,10.41,26.21
84,86,13.95,12.23
16,17,10.02,22.91
87,97,16.00,0.00
9,10,15.44,24.72
5,6,15.72,0.00
5,6,19.24,0.00
60,61,13.57,17.57
85,86,12.68,0.00
15,16,16.40,0.00
14,87,13.48,0.00
9,10,16.33,8.99
5,27,10.58,0.00
5,27,19.02,0.00
61,75,17.22,14.45
36,85,13.83,0.00
15,98,12.73,0.00
13,14,16.86,0.00
9,27,13.36,21.95
26,27,17.95,0.00
26,27,15.26,0.00
61,75,17.96,0.00
36,51,10.66,0.00
96,98,12.23,0.00
13,16,13.98,0.00
26,27,12.29,0.00
25,26,12.11,30.31
25,26,12.93,17.38
60,61,11.52,7.56
50,51,15.82,0.00
94,96,12.42,0.00
15,16,16.68,0.00
26,27,19.45,0.00
23,25,15.28,25.89
23,25,11.78,14.11
33,60,12.65,16.59
49,50,11.32,4.55
92,94,17.40,5.74
15,98,17.52,0.00
5,27,17.07,0.00
22,23,14.88,26.26
23,25,14.48,0.25
33,34,15.12,27.64
47,49,13.29,14.56
91,92,11.64,31.69
96,98,10.10,0.00
4,5,12.57,0.00
1,22,13.50,19.85
25,26,18.03,1.42
34,35,15.06,0.00
47,48,18.36,11.68
91,93,17.69,28.06
95,96,14.23,0.00
4,40,11.84,1.82
1,2,12.78,31.75
26,27,19.79,0.00
35,49,15.81,20.01
34,48,16.11,20.03
93,95,12.72,37.13
95,96,19.87,0.00
40,41,10.76,14.09
2,28,11.18,41.37
5,27,10.28,0.00
49,50,19.66,0.00
33,34,16.09,14.51
95,96,19.15,0.00
96,98,12.10,0.00
41,42,19.51,27.15
28,29,10.02,27.75
5,6,10.46,0.00
50,51,17.38,0.00
33,60,17.27,2.35
96,98,18.83,0.00
96,98,12.28,0.00
42,43,15.32,0.00
29,30,14.14,18.60
6,7,15.94,0.00
51,52,13.03,26.70
60,61,19.37,0.00
96,98,16.07,0.00
95,96,19.74,0.00
43,44,15.81,0.00
30,45,12.65,16.26
7,39,18.39,0.00
52,53,16.85,28.08
61,62,14.18,40.71
95,96,14.37,0.00
95,96,15.46,0.00
44,45,11.79,17.19
45,55,18.01,10.57
39,53,15.46,30.55
38,53,11.08,30.11
62,63,19.33,1.40
95,96,18.51,0.00
96,98,18.63,0.00
45,55,16.97,0.00
55,56,19.71,20.31
52,53,15.43,13.96
37,38,19.16,31.02
63,77,10.70,21.15
96,98,19.71,0.00
96,98,17.12,0.00
55,56,14.88,5.96
56,57,14.64,34.02
51,52,10.33,18.59
36,37,14.11,3.47
77,78,15.60,16.01
96,98,19.39,0.00
95,96,17.32,0.00
56,57,17.68,17.26
56,57,19.65,0.00
50,51,18.10,0.00
36,85,17.17,0.00
78,79,13.79,22.90
95,96,16.95,0.00
95,96,14.60,0.00
56,57,10.67,0.00
55,56,13.40,0.00
50,58,19.92,36.42
85,86,19.53,0.00
79,80,15.13,23.09
95,96,11.24,0.00
96,98,10.89,0.00
56,59,14.45,22.62
45,55,17.16,0.00
57,58,14.57,33.63
83,86,14.98,3.94
70,80,18.17,25.82
96,98,18.53,0.00
96,98,17.42,0.00
54,59,19.03,19.63
30,45,10.27,10.78
56,57,11.57,0.00
83,86,16.48,0.00
70,71,17.83,42.16
96,98,10.25,0.00
95,96,15.26,0.00
6,54,15.71,2.34
30,42,19.74,14.52
56,59,17.39,7.04
85,86,19.13,0.00
71,73,17.18,34.82
95,96,14.07,0.00
95,96,18.99,0.00
5,6,18.50,0.00
41,42,18.74,16.48
54,59,11.64,9.88
36,85,12.84,0.00
37,73,17.12,17.84
95,96,15.95,0.00
96,98,18.55,0.00
4,5,14.16,0.00
40,41,17.66,4.51
6,54,15.20,0.00
36,37,16.71,0.00
36,37,13.96,0.00
96,98,10.92,0.00
96,98,10.18,0.00
3,4,11.86,46.86
4,40,14.32,0.30
6,7,10.33,0.00
37,73,14.58,5.14
36,51,13.44,0.00
96,98,11.24,0.00
95,96,19.56,0.00
3,40,19.91,48.71
4,5,15.06,0.00
6,7,15.80,0.00
72,73,15.81,28.89
50,51,14.16,0.00
95,96,13.36,0.00
95,96,11.35,0.00
40,43,10.99,6.68
5,27,18.07,0.00
6,54,11.33,0.00
71,72,10.47,24.55
49,50,17.99,0.00
95,96,13.00,0.00
96,98,14.00,0.00
42,43,16.42,0.00
20,27,16.27,20.77
54,59,16.80,0.00
70,71,15.55,32.14
47,49,10.42,14.49
96,98,18.15,0.00
96,98,17.44,0.00
30,42,13.63,5.47
19,20,18.08,30.12
54,59,13.92,0.00
69,70,18.82,11.76
47,48,19.28,9.07
96,98,19.02,0.00
95,96,18.31,0.00
30,31,11.71,49.49
18,19,17.47,29.87
6,54,19.08,0.00
67,69,18.63,34.99
32,48,14.95,52.19
95,96,18.77,0.00
95,96,14.15,0.00
30,31,18.79,31.63
11,18,12.65,37.96
6,7,12.07,0.00
66,67,19.43,41.26
32,48,17.31,35.67
95,96,13.50,0.00
96,98,19.31,0.00
29,30,14.11,19.69
10,11,17.40,59.97
7,9,18.75,0.00
66,78,15.99,22.69
47,48,10.36,1.21
96,98,16.60,0.00
96,98,16.97,0.00
28,29,19.06,27.35
9,10,14.34,11.98
9,10,19.71,0.00
78,83,11.90,25.12
47,49,19.70,0.00
96,98,15.17,0.00
95,96,13.55,0.00
2,28,11.90,47.39
7,9,15.32,0.00
10,19,12.57,47.93
82,83,18.85,40.72
49,50,16.93,0.00
95,96,19.49,0.00
95,96,10.40,0.00
1,2,10.77,38.20
6,7,13.38,0.00
19,20,17.18,16.33
82,83,16.24,25.11
50,51,18.76,0.00
95,96,17.79,0.00
96,98,17.20,0.00
1,22,19.20,15.61
6,54,12.19,0.00
20,21,19.70,34.09
78,83,10.67,17.29
36,51,19.10,0.00
96,98,14.79,0.00
96,98,16.89,0.00
21,22,17.59,28.78
54,59,13.07,0.00
21,22,19.89,8.90
66,78,18.52,7.49
36,85,18.92,0.00
96,98,17.51,0.00
95,96,18.72,0.00
21,22,18.13,0.00
56,59,15.82,5.69
22,23,11.87,32.33
66,67,10.33,37.67
85,86,10.72,2.52
95,96,17.07,0.00
95,96,16.62,0.00
22,23,10.39,22.54
56,57,15.90,0.59
23,25,19.12,0.51
67,69,15.64,28.05
83,86,16.30,0.00
95,96,15.83,0.00
96,98,10.03,0.00
23,25,15.97,0.00
56,57,15.37,0.00
25,26,10.65,12.12
69,70,10.94,8.07
78,83,15.24,5.85
96,98,11.59,0.00
96,98,15.78,0.00
25,26,14.54,0.00
56,59,17.20,0.00
26,27,13.32,11.88
70,71,18.92,23.48
66,78,19.10,0.00
96,98,12.81,0.00
95,96,10.40,0.00
26,27,19.02,0.00
54,59,12.87,0.00
5,27,10.52,0.00
71,73,16.24,38.50
66,67,18.92,22.61
95,96,19.10,0.00
95,96,15.13,0.00
5,27,18.85,0.00
44,54,19.78,26.09
5,6,10.87,5.06
37,73,19.61,2.41
67,69,18.13,13.79
95,96,18.47,0.00
96,98,16.22,0.00
5,6,19.64,0.00
43,44,16.35,6.03
6,54,10.08,0.00
36,37,17.41,1.10
69,70,19.08,0.00
96,98,12.20,0.00
96,98,11.46,0.00
6,54,18.54,0.00
40,43,16.20,0.00
6,54,13.54,0.00
35,36,14.05,38.36
70,71,17.09,9.54
96,98,17.32,0.00
95,96,16.29,0.00
6,54,16.15,0.00
4,40,14.18,4.03
5,6,15.06,0.00
35,36,14.96,24.08
70,71,14.82,0.00
95,96,12.67,0.00
95,96,19.46,0.00
5,6,13.08,0.00
4,5,13.29,4.21
5,27,13.19,0.00
36,85,16.94,0.00
70,80,15.88,36.52
95,96,19.54,0.00
96,98,17.07,0.00
5,27,10.72,0.00
5,27,16.66,0.00
9,27,11.22,36.00
85,86,11.79,0.00
79,80,15.40,32.19
96,98,19.71,0.00
96,98,15.95,0.00
20,27,17.98,21.28
20,27,13.69,7.59
9,10,11.34,0.00
84,86,10.54,42.66
79,84,16.97,30.62
96,98,18.07,0.00
95,96,18.42,0.00
19,20,19.57,5.20
19,20,15.14,0.00
10,19,10.70,47.42
79,84,14.99,16.47
84,86,15.99,27.54
95,96,15.81,0.00
95,96,18.24,0.00
18,19,14.25,27.23
18,19,13.76,13.48
18,19,13.41,0.06
79,80,12.99,21.73
85,86,15.46,0.00
95,96,18.54,0.00
96,98,14.25,0.00
18,19,17.70,0.00
11,18,10.18,46.11
11,18,15.51,30.60
79,80,17.13,5.44
81,85,14.03,33.28
96,98,12.53,0.00
96,98,18.00,0.00
19,20,10.55,0.00
10,11,15.67,65.08
10,11,19.46,45.62
79,84,17.45,1.54
74,81,17.97,68.57
96,98,11.77,0.00
95,96,19.35,0.00
20,21,10.49,40.56
9,10,11.04,0.00
9,10,17.88,0.00
84,86,15.98,15.05
35,74,10.52,40.38
95,96,17.90,0.00
95,96,10.08,0.00
21,26,11.85,29.62
9,27,18.10,22.01
9,27,12.94,9.07
85,86,16.74,0.00
34,35,14.58,10.85
95,96,12.46,0.00
96,98,13.34,0.00
26,27,11.36,0.02
5,27,18.04,0.00
5,27,18.79,0.00
81,85,15.29,21.04
34,48,11.82,45.58
96,98,12.03,0.00
96,98,12.40,0.00
5,27,12.47,0.00
5,6,10.84,0.00
5,6,15.71,0.00
74,81,11.10,61.27
47,48,19.63,2.42
96,98,12.39,0.00
95,96,18.31,0.00
5,6,11.73,0.00
6,54,10.35,0.00
6,54,17.21,0.00
35,74,16.85,26.26
47,49,16.20,0.00
95,96,18.73,0.00
95,96,18.50,0.00
6,54,10.52,0.00
44,54,14.49,27.55
44,54,18.18,9.37
34,35,10.81,2.25
49,50,17.34,3.55
95,96,12.98,0.00
96,98,10.55,0.00
54,59,18.85,0.00
44,45,11.05,29.04
44,45,14.14,14.90
34,35,10.08,0.00
50,51,13.56,3.19
96,98,11.76,0.00
96,98,15.15,0.00
55,59,12.36,66.14
45,55,17.44,15.11
45,55,17.34,0.00
35,36,10.90,23.39
51,52,14.24,28.76
96,98,13.75,0.00
95,96,19.67,0.00
45,55,15.44,0.00
55,56,19.84,2.91
55,56,18.28,0.00
36,37,18.28,0.00
52,53,11.22,32.94
95,96,19.71,0.00
95,96,15.89,0.00
30,45,16.45,23.07
56,57,19.96,1.11
56,57,12.25,0.00
37,73,15.19,5.98
38,53,16.88,41.54
95,96,16.64,0.00
96,98,10.22,0.00
30,45,19.60,4.15
57,58,19.85,42.16
57,58,18.36,23.79
71,73,13.33,47.08
37,38,17.27,48.49
96,98,12.85,0.00
96,98,13.49,0.00
45,55,19.61,0.00
50,58,14.59,62.20
50,58,10.44,51.76
70,71,12.98,2.01
37,73,19.33,0.00
96,98,17.37,0.00
95,96,14.44,0.00
55,56,11.36,0.00
50,51,12.26,0.00
50,51,17.58,0.00
70,80,11.74,43.49
37,73,11.18,0.00
95,96,19.28,0.00
95,96,16.12,0.00
56,57,19.52,0.00
51,52,12.79,19.30
51,52,17.90,1.40
79,80,12.35,5.77
36,37,13.55,0.00
95,96,12.95,0.00
96,98,19.04,0.00
57,58,19.27,7.10
52,53,17.10,19.78
52,53,14.57,5.21
78,79,14.92,34.37
36,85,14.38,0.00
96,98,17.62,0.00
96,98,13.83,0.00
50,58,12.35,42.92
39,53,13.44,53.25
39,53,19.89,33.36
77,78,18.42,31.85
85,86,11.35,0.23
96,98,12.83,0.00
95,96,11.97,0.00
50,51,15.79,0.00
38,39,13.20,32.64
38,39,19.66,12.98
65,77,18.86,42.45
83,86,11.36,10.35
95,96,17.18,0.00
95,96,11.39,0.00
